Last Price,Open Price,Max,Min,Size,Change Persent,Class
205.93,220.89,237.47,202.35,60.5,0.0678,XRP
184.81,205.92,216.23,106.01,82.86,0.1026,XRP
190.15,184.83,202.81,175.8,67.0,0.0289,XRP
171.62,190.16,193.09,164.04,57.67,0.0974,XRP
177.74,171.62,182.59,166.16,60.98,0.0356,XRP
188.16,177.76,188.54,174.86,59.26,0.0586,XRP
215.22,188.17,223.35,185.92,69.27,0.1438,XRP
173.62,215.23,215.64,153.17,85.82,0.1933,XRP
176.43,173.62,184.95,164.97,67.69,0.0162,XRP
179.87,176.44,195.87,168.74,78.51,0.0195,XRP
171.91,179.86,187.67,169.28,73.98,0.0443,XRP
179.62,171.93,192.54,154.42,73.16,0.0449,XRP
183.01,179.61,192.28,176.47,89.26,0.0189,XRP
184.96,183.01,194.11,179.46,80.29,0.0106,XRP
182.42,184.96,191.28,178.29,71.29,0.0138,XRP
152.46,182.39,185.97,139.13,91.26,0.1642,XRP
151.95,152.46,157.27,131.78,83.98,0.0033,XRP
148.28,151.93,152.33,143.95,68.17,0.0242,XRP
142.03,148.25,152.22,140.0,75.02,0.0421,XRP
127.61,142.03,143.87,117.14,104.63,0.1016,XRP
128.35,127.61,134.92,123.18,93.43,0.0058,XRP
134.33,128.35,137.74,126.05,94.22,0.0466,XRP
142.67,134.32,147.68,134.32,92.34,0.0621,XRP
174.19,142.65,179.8,142.0,113.12,0.2209,XRP
160.44,174.17,177.77,155.65,94.49,0.0789,XRP
183.64,160.4,186.76,159.55,82.7,0.1446,XRP
223.23,183.58,227.55,183.58,101.65,0.2156,XRP
264.87,223.23,287.93,217.02,137.45,0.1865,XRP
261.64,264.87,285.75,237.89,151.56,0.0122,XRP
217.52,261.65,276.81,210.36,162.44,0.1686,XRP
237.32,217.51,251.55,213.0,121.65,0.091,XRP
122.69,237.3,237.3,88.5,267.66,0.483,XRP
132.58,122.67,151.85,102.44,230.26,0.0806,XRP
131.03,132.59,142.9,120.2,159.16,0.0117,XRP
144.01,131.02,148.91,124.84,149.27,0.0991,XRP
158.18,144.03,175.78,140.84,193.42,0.0984,XRP
187.45,158.18,189.22,148.91,162.42,0.1851,XRP
194.01,187.47,197.35,167.51,172.27,0.035,XRP
213.96,194.01,227.05,190.87,182.28,0.1028,XRP
210.22,213.96,218.74,195.25,167.36,0.0175,XRP
200.51,210.19,210.19,177.43,149.67,0.0462,XRP
206.62,200.51,217.0,192.11,97.96,0.0305,XRP
243.63,206.65,246.55,197.3,79.23,0.1791,XRP
242.0,243.63,253.21,227.95,69.61,0.0067,XRP
238.22,242.0,249.77,227.01,55.72,0.0156,XRP
228.86,238.23,238.48,219.06,44.84,0.0393,XRP
221.06,228.87,249.23,217.11,46.55,0.0341,XRP
229.15,221.07,232.47,218.46,42.17,0.0366,XRP
239.2,229.09,248.76,223.79,56.72,0.0439,XRP
235.75,239.2,245.04,230.44,47.89,0.0144,XRP
305.32,235.72,308.57,233.35,48.08,0.2951,XRP
387.14,305.32,392.37,300.33,67.8,0.268,XRP
396.76,387.15,415.08,335.76,69.12,0.0249,XRP
432.18,396.78,443.74,367.05,59.91,0.0893,XRP
395.56,432.22,444.86,379.96,53.12,0.0847,XRP
398.8,395.56,410.17,370.4,46.14,0.0082,XRP
334.91,398.8,488.24,314.13,137.06,0.1602,XRP
387.98,334.91,388.12,316.69,116.2,0.1585,XRP
385.25,388.06,393.96,353.85,69.03,0.0071,XRP
354.25,385.33,385.39,315.54,67.78,0.0805,XRP
345.6,354.26,369.1,335.91,48.18,0.0244,XRP
370.16,345.6,377.97,334.11,45.4,0.071,XRP
368.63,370.28,394.58,362.65,54.73,0.0041,XRP
411.92,368.61,420.12,367.16,61.61,0.1174,XRP
